"SPORDER","PUMA","PWGTP","CIT","COW","ENG","FER","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MIG","NWAB","NWLA","NWLK","SCH","SCHL","SEX","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESR","INDP","JWDP","LANP","MSP","NATIVITY","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","WAOB","Class"
1,"505",61,"1","2","0","0","2","0","1","2","2","2","0",0,"11","2","3","2","2","1","2","1","3","3","3","1","18","2","2","2","5","1","1","50","999","0","0","1","8191","0","0","4","1","0","5730","4","4","4","25","4","500","25","1","2","3","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"201",43,"1","0","0","0","2","2","2","1","1","1","0",0,"0","2","2","2","2","1","2","1","2","2","2","1","16","2","0","0","0","2","1","22","999","0","0","6","0","0","0","3","1","0","0","4","0","4","25","2","0","0","1","1","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"1301",51,"1","6","0","0","2","2","2","1","1","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","21","1","0","2","2","2","2","50","22","0","0","6","7390","0","0","1","1","0","710","0","4","6","36","6","0","0","1","1","2","1","1000","1","0","0","1","0","1","0","1","2","1","No"
1,"1201",537,"4","3","3","0","2","0","2","2","2","1","2",2,"1","1","3","2","2","1","2","1","3","3","3","1","16","2","3","3","5","0","4","999","999","5","2","1","7071","49","1210","4","2","0","440","4","5","5","362","6","790","23","2","1","3","3","5015","3","0","0","1","0","0","0","0","0","3","No"
1,"1001",89,"1","1","0","0","2","2","2","1","1","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","22","1","0","0","0","2","1","84","999","0","0","6","6970","0","0","1","1","0","850","0","0","5","25","6","0","0","1","1","4","1","1000","1","0","0","1","0","1","0","2","2","1","No"
2,"301",82,"1","6","0","0","2","0","1","2","2","2","0",0,"11","2","1","2","2","2","2","1","3","3","3","1","21","2","0","2","4","1","1","195","999","0","0","1","8564","0","0","1","1","0","2850","4","5","5","26","6","290","25","1","2","4","1","1000","1","0","0","1","0","1","0","1","2","1","No"
2,"1004",35,"4","1","1","0","2","2","2","1","2","2","2",1,"1","1","1","2","2","1","2","1","2","2","2","1","14","1","2","2","5","1","1","84","999","4","1","1","770","63","1210","1","2","0","6515","0","4","4","362","4","300","44","1","2","4","1","1000","1","0","0","1","0","1","0","0","0","3","No"
1,"803",60,"4","1","2","2","2","0","2","2","2","1","2",5,"1","1","1","2","2","1","2","1","3","3","3","1","15","2","1","2","4","1","1","706","999","6","5","1","8680","49","2000","1","2","0","4110","2","4","4","207","1","800","25","2","1","3","6","4000","5","1","0","1","0","0","0","0","0","4","No"
2,"1201",53,"1","5","0","0","2","0","1","2","2","2","1",1,"1","2","1","2","2","1","2","1","3","3","3","2","19","1","2","3","5","1","2","32","22","0","1","4","9780","37","0","1","1","0","7030","0","4","4","19","2","1290","25","1","2","2","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"706",84,"1","0","0","0","2","2","2","1","1","2","0",0,"0","2","3","2","2","1","2","1","3","3","3","1","15","2","0","0","0","0","4","999","999","0","0","6","0","0","0","4","1","0","0","4","0","4","25","3","0","0","1","1","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"1003",54,"1","0","0","0","2","0","2","2","1","2","0",0,"0","2","1","2","2","2","2","1","2","2","2","1","20","2","0","0","0","2","1","51","999","0","0","6","0","0","0","1","1","0","0","4","0","4","25","5","0","0","1","1","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"704",71,"1","7","0","0","2","0","1","2","2","2","0",0,"11","2","1","2","2","1","2","1","3","3","3","1","22","2","5","3","5","1","2","94","22","0","0","1","7390","0","0","1","1","0","710","4","5","6","25","6","700","25","1","2","2","1","1000","1","0","0","1","0","1","0","2","2","1","No"
1,"605",22,"1","0","0","0","2","0","2","2","1","1","0",0,"0","2","2","2","2","1","2","3","3","3","3","1","16","2","0","0","0","0","3","996","999","0","0","6","0","0","0","3","1","-1","0","0","0","4","25","0","0","0","2","1","3","1","1000","1","0","0","1","0","1","-1","0","0","1","Yes"
2,"507",161,"1","4","0","0","2","0","1","2","2","2","1",1,"1","2","1","2","2","1","2","1","3","3","3","1","16","2","3","2","5","1","1","26","999","0","1","1","9480","49","0","1","1","0","5860","4","5","5","25","5","500","25","1","2","3","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"505",108,"1","1","0","0","2","2","1","1","2","2","0",0,"11","2","1","2","2","1","2","1","3","3","3","1","19","2","2","2","5","1","3","996","999","0","0","1","8170","0","0","1","1","0","5110","4","4","4","25","6","500","25","1","2","3","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"402",16,"5","0","2","2","0","2","2","1","2","2","0",0,"0","1","5","0","0","0","0","2","2","2","2","3","19","2","0","0","0","2","1","152","999","8","0","6","0","0","1278","6","2","-1","0","0","0","0","154","0","0","0","1","2","3","1","1000","1","0","0","1","0","1","-1","0","0","5","No"
2,"904",246,"1","1","1","0","0","0","2","2","2","1","2",1,"1","1","5","0","0","0","0","3","3","3","3","2","19","1","1","1","2","1","1","336","999","0","1","1","7071","109","1055","6","1","0","4120","0","3","3","12","2","900","25","2","1","3","2","3000","2","0","1","1","0","0","0","0","0","1","No"
1,"902",63,"1","1","1","2","2","2","2","1","2","2","2",1,"1","1","1","2","2","1","2","1","3","3","3","1","21","2","4","2","5","1","1","210","999","0","1","1","7580","127","1200","1","1","0","3255","4","5","6","48","6","800","25","1","2","4","9","9000","29","0","0","2","1","1","0","2","1","1","No"
1,"604",46,"1","7","0","0","2","0","1","2","2","2","1",1,"1","2","1","2","2","1","2","1","3","3","3","1","18","2","3","2","5","1","2","51","50","0","1","1","8980","49","0","1","1","0","440","4","5","5","25","6","600","25","1","2","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"201",193,"1","2","0","0","2","2","2","1","1","1","0",0,"0","2","5","0","0","0","0","1","3","3","3","1","14","1","1","1","1","0","4","999","999","0","0","3","8370","0","0","6","1","0","4220","0","3","4","36","1","0","0","1","1","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"611",58,"1","1","0","0","2","0","1","2","1","2","2",1,"1","2","1","2","2","1","2","1","3","3","3","1","18","1","2","2","5","1","2","32","142","0","1","1","4971","92","0","1","1","0","9645","0","4","5","9","6","900","25","1","1","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"609",96,"1","2","0","2","2","0","1","2","2","2","3",1,"1","2","1","2","2","1","2","3","3","3","3","1","22","2","4","3","5","1","2","22","51","0","1","1","8570","55","0","1","1","0","2400","3","5","6","50","6","800","25","1","2","1","1","1000","1","0","0","1","0","1","0","2","2","1","No"
2,"902",91,"1","0","0","0","2","0","2","2","1","1","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","16","2","0","0","0","2","1","50","999","0","0","6","0","0","0","1","1","0","0","4","0","4","25","4","0","0","2","1","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"806",86,"1","5","0","2","0","0","1","2","2","2","1",1,"1","2","5","0","0","0","0","1","3","3","3","1","22","2","3","2","5","1","2","84","261","0","1","1","9370","49","0","6","1","0","2850","4","5","5","36","6","800","25","1","2","3","9","9000","29","0","0","2","1","1","0","1","2","1","No"
