"RT","SERIALNO","DIVISION","SPORDER","PUMA","REGION","STATE","ADJINC","PWGTP","CIT","CITWP","COW","ENG","FER","GCL","GCM","GCR","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","MLPA","MLPB","MLPCD","MLPE","MLPFG","MLPH","MLPIK","MLPJ","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHG","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKWN","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESP","ESR","FOD1P","FOD2P","HICOV","HISP","INDP","JWAP","JWDP","LANP","MIGPUMA","MIGSP","MSP","NATIVITY","NOP","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","SFN","SFR","VPS","WAOB","Class"
"P","2023HU0119117",1,1,505,1,25,1019518,61,1,NA,2,NA,NA,2,NA,NA,0,1,2,2,2,2,2,2,0,NA,NA,11,2,3,2,2,1,2,1985,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,18,0,2,0,0,48000,32,52,1,NA,1,50,999,NA,NA,NA,1,NA,NA,1,1,8191,NA,NA,NA,NA,NA,4,1,NA,0,5730,4,48000,48000,25,371,500,25,1,2,3,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,1,"No"
"P","2023HU0918814",1,1,201,1,25,1019518,43,1,NA,NA,NA,NA,2,NA,NA,2,2,1,1,1,2,2,2,0,NA,NA,NA,2,2,2,2,1,2,1947,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,3,0,0,1800,1,NA,16,0,2,0,17000,0,NA,NA,2,NA,1,22,999,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,1,NA,0,NA,4,0,18800,25,129,NA,NA,1,1,1,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,1,"No"
"P","2023HU0198831",1,2,1301,1,25,1019518,51,1,NA,6,NA,NA,2,NA,NA,2,2,1,1,2,2,2,2,0,NA,NA,NA,2,1,2,2,1,2,1980,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,10000,1,NA,21,50000,1,0,45500,0,40,16,2,NA,2,50,22,NA,NA,NA,6,3600,NA,1,1,7390,NA,NA,NA,NA,NA,1,1,NA,0,710,NA,50000,105500,36,501,NA,NA,1,1,2,1,1000,1,0,0,0,0,1,0,0,1,0,1,2,NA,NA,NA,1,"No"
"P","2023HU1159064",1,1,1201,1,25,1019518,537,4,1992,3,3,NA,2,NA,NA,0,2,2,2,1,2,2,2,0,15,2,1,1,3,2,2,1,2,1986,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,16,0,2,0,0,67000,50,52,NA,1987,4,999,999,5,2,NA,1,NA,NA,1,2,7071,91,49,1210,NA,NA,4,2,NA,0,440,4,67000,67000,362,501,790,23,2,1,3,3,5015,3,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,3,"No"
"P","2023HU1362776",1,1,1001,1,25,1019518,89,1,NA,1,NA,NA,2,NA,NA,2,2,1,1,2,2,2,2,0,NA,NA,NA,2,1,2,2,1,2,1978,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,50000,1,NA,22,0,1,0,30000,0,NA,NA,2,NA,1,84,999,NA,NA,NA,6,6203,NA,1,1,6970,NA,NA,NA,NA,NA,1,1,NA,0,850,NA,0,80000,25,501,NA,NA,1,1,4,1,1000,1,0,0,0,0,1,0,0,1,0,2,2,NA,NA,NA,1,"No"
"P","2023HU1223973",1,2,301,1,25,1019518,82,1,NA,6,NA,NA,2,NA,NA,0,1,2,2,2,2,2,2,0,NA,NA,11,2,1,2,2,2,2,1998,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,21,66000,2,0,0,0,25,45,1,NA,1,195,999,NA,NA,NA,1,3600,NA,1,1,8564,NA,NA,NA,NA,NA,1,1,NA,0,2850,4,66000,66000,26,501,290,25,1,2,4,1,1000,1,0,0,0,0,1,0,0,1,0,1,2,NA,NA,NA,1,"No"
"P","2023HU0516800",1,2,1004,1,25,1019518,35,4,1983,1,1,NA,2,NA,NA,2,2,1,2,2,2,2,2,0,20,1,1,1,1,2,2,1,2,1980,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,2000,1,NA,14,0,1,0,0,40000,40,52,1,1975,1,84,999,4,1,NA,1,NA,NA,1,1,770,106,63,1210,NA,NA,1,2,NA,0,6515,NA,40000,42000,362,359,300,44,1,2,4,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,3,"No"
"P","2023HU0969968",1,1,803,1,25,1019518,60,4,2003,1,2,2,2,NA,NA,0,2,2,2,1,2,2,2,0,30,5,1,1,1,2,2,1,2,1996,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,15,0,2,0,0,12000,40,40,1,1995,1,706,999,6,5,NA,1,NA,NA,1,1,8680,94,49,2000,NA,NA,1,2,NA,0,4110,2,12000,12000,207,39,800,25,2,1,3,6,4000,5,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,4,"No"
"P","2023HU1449069",1,2,1201,1,25,1019518,53,1,NA,5,NA,NA,2,NA,NA,0,1,2,2,2,1,2,2,340,10,1,1,2,1,2,2,1,2,2015,1,1,1,0,0,0,0,0,0,0,3,5,3,3,3,0,0,0,2,15,19,0,1,0,0,47300,60,52,1,NA,2,32,22,NA,1,NA,4,NA,NA,1,1,9780,78,37,NA,NA,NA,1,1,NA,0,7030,NA,47300,47640,19,158,1290,25,1,2,2,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,1,1,"No"
"P","2023HU0127128",1,1,706,1,25,1019518,84,1,NA,NA,NA,NA,2,NA,NA,2,2,1,1,2,2,2,2,0,NA,NA,NA,2,3,2,2,1,2,1975,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,10300,1,NA,15,0,2,0,27500,0,NA,NA,NA,NA,4,999,999,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4,1,NA,0,NA,4,0,37800,25,260,NA,NA,1,1,1,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,1,"No"
